INSERT INTO zaliczenie VALUES (0, 1, 0, 1, 1, Date '2017-12-23', 2);
INSERT INTO zaliczenie VALUES (36, 0, 23, 0, 2, Date '2017-12-23', 4);
INSERT INTO zaliczenie VALUES (37, 7, 24, 7, 1, Date '2017-12-23', 4);
INSERT INTO zaliczenie VALUES (38, 23, 25, 23, 1, Date '2017-12-23', 3);
INSERT INTO zaliczenie VALUES (39, 10, 26, 10, 1, Date '2017-12-23', 4);
INSERT INTO zaliczenie VALUES (40, 10, 27, 10, 1, Date '2017-12-23', 2);
INSERT INTO zaliczenie VALUES (41, 10, 27, 10, 2, Date '2017-12-23', 3);
INSERT INTO zaliczenie VALUES (42, 18, 28, 18, 1, Date '2017-12-23', 2);
INSERT INTO zaliczenie VALUES (43, 18, 28, 18, 2, Date '2017-12-23', 5);
INSERT INTO zaliczenie VALUES (44, 17, 29, 17, 1, Date '2017-12-23', 3);
INSERT INTO zaliczenie VALUES (45, 27, 30, 27, 1, Date '2017-12-23', 4);
INSERT INTO zaliczenie VALUES (46, 4, 31, 4, 1, Date '2017-12-23', 3);
INSERT INTO zaliczenie VALUES (47, 25, 32, 25, 1, Date '2017-12-23', 3);
INSERT INTO zaliczenie VALUES (48, 21, 33, 21, 1, Date '2017-12-23', 2);
INSERT INTO zaliczenie VALUES (49, 21, 33, 21, 2, Date '2017-12-23', 5);
INSERT INTO zaliczenie VALUES (50, 2, 34, 2, 1, Date '2017-12-23', 4);
INSERT INTO zaliczenie VALUES (51, 13, 35, 13, 1, Date '2017-12-23', 2);
INSERT INTO zaliczenie VALUES (52, 13, 35, 13, 2, Date '2017-12-23', 3);
INSERT INTO zaliczenie VALUES (53, 0, 36, 0, 1, Date '2017-12-23', 3);
INSERT INTO zaliczenie VALUES (54, 7, 37, 7, 1, Date '2017-12-23', 2);
INSERT INTO zaliczenie VALUES (55, 7, 37, 7, 2, Date '2017-12-23', 5);
INSERT INTO zaliczenie VALUES (56, 14, 38, 14, 1, Date '2017-12-23', 3);
INSERT INTO zaliczenie VALUES (57, 23, 39, 23, 1, Date '2017-12-23', 4);
INSERT INTO zaliczenie VALUES (58, 23, 40, 23, 1, Date '2017-12-23', 5);
INSERT INTO zaliczenie VALUES (59, 1, 41, 1, 1, Date '2017-12-23', 3);
INSERT INTO zaliczenie VALUES (60, 26, 42, 26, 1, Date '2017-12-23', 4);
INSERT INTO zaliczenie VALUES (61, 12, 43, 12, 1, Date '2017-12-23', 2);
INSERT INTO zaliczenie VALUES (62, 12, 43, 12, 2, Date '2017-12-23', 3);
INSERT INTO zaliczenie VALUES (63, 12, 44, 12, 1, Date '2017-12-23', 2);
INSERT INTO zaliczenie VALUES (64, 12, 44, 12, 2, Date '2017-12-23', 2);
INSERT INTO zaliczenie VALUES (65, 12, 44, 12, 3, Date '2017-12-23', 5);
INSERT INTO zaliczenie VALUES (66, 19, 45, 19, 1, Date '2017-12-23', 5);
INSERT INTO zaliczenie VALUES (67, 17, 46, 17, 1, Date '2017-12-23', 3);
INSERT INTO zaliczenie VALUES (68, 12, 47, 12, 1, Date '2017-12-23', 5);
INSERT INTO zaliczenie VALUES (69, 24, 48, 24, 1, Date '2017-12-23', 5);
INSERT INTO zaliczenie VALUES (70, 20, 49, 20, 1, Date '2017-12-23', 2);
INSERT INTO zaliczenie VALUES (71, 20, 49, 20, 2, Date '2017-12-23', 5);
INSERT INTO zaliczenie VALUES (72, 17, 50, 17, 1, Date '2017-12-23', 3);
INSERT INTO zaliczenie VALUES (73, 24, 51, 24, 1, Date '2017-12-23', 5);
INSERT INTO zaliczenie VALUES (74, 28, 52, 28, 1, Date '2017-12-23', 5);
INSERT INTO zaliczenie VALUES (75, 13, 53, 13, 1, Date '2017-12-23', 4);
INSERT INTO zaliczenie VALUES (76, 27, 54, 27, 1, Date '2017-12-23', 4);
INSERT INTO zaliczenie VALUES (77, 0, 55, 0, 1, Date '2017-12-23', 5);
INSERT INTO zaliczenie VALUES (78, 22, 56, 22, 1, Date '2017-12-23', 3);
INSERT INTO zaliczenie VALUES (79, 20, 57, 20, 1, Date '2017-12-23', 5);
INSERT INTO zaliczenie VALUES (80, 15, 58, 15, 1, Date '2017-12-23', 4);
INSERT INTO zaliczenie VALUES (81, 6, 59, 6, 1, Date '2017-12-23', 3);
INSERT INTO zaliczenie VALUES (82, 17, 60, 17, 1, Date '2017-12-23', 2);
INSERT INTO zaliczenie VALUES (83, 17, 60, 17, 2, Date '2017-12-23', 3);
INSERT INTO zaliczenie VALUES (84, 25, 61, 25, 1, Date '2017-12-23', 3);
INSERT INTO zaliczenie VALUES (85, 21, 62, 21, 1, Date '2017-12-23', 2);
INSERT INTO zaliczenie VALUES (86, 21, 62, 21, 2, Date '2017-12-23', 3);
INSERT INTO zaliczenie VALUES (87, 4, 63, 4, 1, Date '2017-12-23', 2);
INSERT INTO zaliczenie VALUES (88, 4, 63, 4, 2, Date '2017-12-23', 4);
INSERT INTO zaliczenie VALUES (89, 21, 64, 21, 1, Date '2017-12-23', 3);
INSERT INTO zaliczenie VALUES (90, 22, 65, 22, 1, Date '2017-12-23', 2);
INSERT INTO zaliczenie VALUES (91, 22, 65, 22, 2, Date '2017-12-23', 2);
INSERT INTO zaliczenie VALUES (92, 22, 65, 22, 3, Date '2017-12-23', 5);
INSERT INTO zaliczenie VALUES (93, 20, 66, 20, 1, Date '2017-12-23', 3);
INSERT INTO zaliczenie VALUES (94, 12, 67, 12, 1, Date '2017-12-23', 5);
INSERT INTO zaliczenie VALUES (95, 28, 68, 28, 1, Date '2017-12-23', 3);
INSERT INTO zaliczenie VALUES (96, 29, 69, 29, 1, Date '2017-12-23', 2);
INSERT INTO zaliczenie VALUES (97, 29, 69, 29, 2, Date '2017-12-23', 2);
INSERT INTO zaliczenie VALUES (98, 29, 69, 29, 3, Date '2017-12-23', 4);
INSERT INTO zaliczenie VALUES (99, 9, 70, 9, 1, Date '2017-12-23', 2);
INSERT INTO zaliczenie VALUES (100, 9, 70, 9, 2, Date '2017-12-23', 2);
INSERT INTO zaliczenie VALUES (101, 9, 70, 9, 3, Date '2017-12-23', 4);
